id,label,type,primaryCategory,allCategories,country,city,nodeDescription,startDate,endDate,latitude,longitude,SIC,url
49860E,Kherson Oil Refinery(Ukraine),Company,Mining,Mining;,Ukraine,,,,,49.4871968,31.2718321,1311,
98682M,Yonca-Onuk Savunma Sanayii AS,Company,Manufacturing,Wholesale Trade;Manufacturing;,Turkey,"Tuzla, Istanbul",,,,40.8166668,29.3008332,3731,
44624R,IOCOI,Company,Mining,Mining;Mining;Mining;,Iraq,,,,,33.0955793,44.1749775,1311,
29677V,Esseco Srl,Company,Manufacturing,Manufacturing;Wholesale Trade;Manufacturing;Manufacturing;,Italy,San Martino Trecate,,,,45.4477272,8.7910372,2819,
9044ZW,Undisclosed Turkish Bottler,Company,Manufacturing,Manufacturing;,Turkey,,,,,38.9597594,34.9249653,3221,
90631Q,Ukratomprom,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Ukraine,,,,,49.4871968,31.2718321,4911,
14773N,Caspian Shipping Co,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Azerbaijan,Baku,,,,40.3754289,49.8328549,4412,
26846T,EGPC,Company,Mining,Mining;,Egypt,,,1995-06-26,,26.2540493,29.2675469,1311,
98566Z,OGK-5,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Russian Fed,Yekaterinburg,,2006-09-25,,56.8391034,60.6082502,4911,
81692V,SEL SpA,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,Bolzano,,2010-06-02,,46.4981125,11.3547801,4911,
75061N,Raga Engineering,Company,Manufacturing,Manufacturing;,Italy,,,,,42.6384261,12.674297,3491,
65472H,Nizhni Novgorod Port,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Russian Fed,,,,,64.6863136,97.7453061,4412,
12394A,Cairo & Alexandria Stock,Company,"Finance, Insurance, And Real Estate","Finance, Insurance, And Real Estate;",Egypt,Cairo,,,,30.0488185,31.2436663,6211,
83520T,Sofinter SpA,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,Gallarate,,,,45.6601574,8.7936705,4911,
88771C,TenizService LLP,Company,Mining,Mining;Mining;Mining;,Kazakhstan,Aktau,,,,43.6432697,51.1707631,1311,
9047TF,Undisclosed Italian Energy,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,,,2000-08-02,,42.6384261,12.674297,4911,
46627I,ASZ,Company,Manufacturing,Manufacturing;,Russian Fed,Komsomolsk-Na-Amure,,,,50.5508776,137.0207752,3731,
90615L,Ukrhazvydobuvannia,Company,Mining,Mining;Mining;Mining;,Ukraine,Kyiv,,,,50.4501071,30.5240501,1311,
52605U,Oktyabr,Company,Manufacturing,Manufacturing;Manufacturing;Manufacturing;,Russian Fed,Lenigrad,,,,59.93301,30.3472446,2819,
75611M,Societa Rete Gas Italia,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,,,1993-01-21,,42.6384261,12.674297,4923,
35781M,E ON Elektrik Uretim Ltd Sti,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Turkey,,,,,38.9597594,34.9249653,4911,
3A3588,Errenergia Srl,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,Rome,,2010-06-08,,41.8935085,12.4825526,4911,
77611J,Romeo Shipping Group,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,,,,,42.6384261,12.674297,4412,
12593Q,CPL Concordia Soc Coop,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Public Administration;",Italy,Concordia Sulla Secchia,,,,44.913174,10.983297,4911,
27855Z,Plinacro doo,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;",Croatia,Zagreb,,,,45.8131545,15.9770298,4923,
44333T,HEP,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;",Croatia,Zagreb,,,,45.8131545,15.9770298,4911,
61950N,Moskovskiy NPZ,Company,Mining,Mining;,Russian Fed,Moscow,,,,55.7516335,37.6187042,1311,
37294H,Geologorazvedka,Company,Mining,Mining;,Russian Fed,,,,,64.6863136,97.7453061,1382,
77820V,Rosuglesbyt,Company,Mining,Mining;,Russian Fed,,,,,64.6863136,97.7453061,1311,
85235N,Stadtwerke Eisenerz GmbH,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Austria,,,1992-12-09,,47.2000338,13.199959,4911,
71655T,PetroAlliance Services Co Ltd,Company,Mining,Mining;Mining;Mining;,Russian Fed,Moscow,,,,55.7516335,37.6187042,1311,
